tipo,cidade/uf,bairro,endereço,área_total,área_construída,valor,descricao,iptu,condomínio
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Adriano Metelo, 282","360,00 m²","157,00 m²","R$445.000,00","Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha americana,Cozinha planejada,Despensa,Interfone,Lavanderia,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Albatroz,"222,00 m²","111,00 m²","R$450.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Cerca elétrica,Cozinha",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Albatroz,"222,00 m²","111,00 m²","R$450.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Alegrete, 1043","417,60 m²",,"R$700.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Apto,2 Quarto(s),2 Varanda(s),2 Wc social,5 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Alegrete, 1417","408,00 m²","100,00 m²","R$450.000,00","Água,Asfalto,Calçada,Esgoto,Rede elétrica,Sala de jantar,Sala de TV,3 Quarto(s) com a/e,1 Varanda,2 Wc social",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Anita Garibaldi,"360,00 m²","90,00 m²","R$380.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Apto,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Anita Garibaldi,"360,00 m²","163,00 m²","R$750.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Edícula,Interfone,Jardim,Piscina,WC de serviço",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Antônio Mena Gonçalves, 119","624,00 m²",,"R$650.000,00",,,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Apiacás,,,"R$360.000,00","Aceita permuta,Água,Asfalto,Calçada,Esgoto,Rede elétrica,2 Wc social",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Araçá,"156,78 m²","96,54 m²","R$410.000,00","Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte com a/e,2 Quarto(s) com a/e,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Copa,Cozinha planejada,Lavanderia,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Araça, 894","156,00 m²","96,54 m²","R$410.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte com a/e,1 Quarto com a/e,1 Quarto,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Depósito,Interfone,Jardim,Lavanderia,Portão elétrico,WC de serviço","R$ 76,36",
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Benevento,"100,00 m²","54,00 m²","R$205.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,1 Quarto,1 Wc social,1 Vaga de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,R. Calafate,"360,00 m²",,"R$470.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),2 Varanda(s),1 Wc social,4 Vaga(s) de garagem",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Calafate, 18",,,"R$294.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Rede elétrica,Sala de estar,Sala de jantar,1 Apto,1 Quarto,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Cozinha americana,Piscina,Portão elétrico",,
Casa-Térrea,Campo Grande - MS,Coronel Antonino,"R. Carlos Fortunato Paiva, 66","200,00 m²","99,64 m²","R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Churrasqueira,Closet,Cozinha americana,Jardim,Lavanderia",,
