tipo,cidade/uf,bairro,endereço,área_total,área_construída,iptu,valor,descricao,condomínio
Casa-Térrea,Campo Grande - MS,Jardim São Conrado,,"198,00 m²","97,00 m²",,"R$360.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Sala de jantar,1 Suíte,2 Quarto(s),Cozinha,Jardim,Lavanderia,Piscina",
Casa-Térrea,Campo Grande - MS,Jardim Seminário,,"180,00 m²","89,00 m²",,"R$390.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Alarme,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha planejada,Interfone,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Seminário,,"180,00 m²","106,00 m²",,"R$450.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Churrasqueira,Cozinha,Jardim,Lavanderia",
Casa-Térrea,Campo Grande - MS,Jardim Seminário,,"360,00 m²","118,00 m²","R$ 1.200,00 anual","R$450.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,1 Suíte,2 Quarto(s),1 Wc social,5 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Jardim Seminário,,,,,"R$195.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rede elétrica,Sala de estar,Sala de jantar,2 Quarto(s),1 Wc social,1 Vaga de garagem",
Casa-Térrea,Campo Grande - MS,Jardim Seminário,,"230,00 m²","130,00 m²",,"R$590.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Piso tátil,Rampa de acessibilidade,Rede elétrica,Sala de jantar,Sala de TV,3 Suíte(s),1 Varanda,1 Wc social,3 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Cozinha,Lavanderia,Pé direito duplo,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Jardim Seminário,,"160,00 m²","82,00 m²",,"R$280.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Imóvel alugado com renda,Muro,Piso tátil,Rampa de acessibilidade,Rede elétrica,WC adaptado,Sala de estar,Sala de TV,1 Suíte,2 Quarto(s),2 Varanda(s),1 Wc social,3 Vaga(s) de garagem",
Casa-Térrea,Campo Grande - MS,Jardim Tijuca I,,"198,00 m²","114,00 m²",,"R$520.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),2 Wc social,3 Vaga(s) de garagem,Cerca elétrica,Cozinha,Hidromassagem,Lavanderia,Piscina,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Jardim TV Morena,,"253,00 m²","126,00 m²",,"R$670.000,00","Aceita financiamento,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,2 Wc social,3 Vaga(s) de garagem,Área de serviço,Churrasqueira,Cozinha americana,Jardim,Lavabo,WC de serviço",
Casa-Térrea,Campo Grande - MS,Loteamento Água Limpa Park,,"360,00 m²","165,00 m²",,"R$920.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de jantar,3 Suíte(s),1 Varanda,4 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha,Cozinha americana,Jardim,Lavabo,Lavanderia,Piscina",
Casa-Térrea,Campo Grande - MS,Monte Castelo,Av. Monte Castelo,"200,00 m²","100,00 m²",,"R$650.000,00","Aceita financiamento,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Alarme,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Lavanderia,WC de serviço",
Casa-Térrea,Campo Grande - MS,Monte Castelo,Av. Pres. Castelo Branco,"200,00 m²","100,00 m²",,"R$650.000,00","Aceita financiamento,Aceita permuta,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Suíte,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Alarme,Área de lazer,Cerca elétrica,Churrasqueira,Closet,Cozinha americana,Interfone,Jardim,Pé direito duplo,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Monte Castelo,R. Carlos Fortunato Paiva,"200,00 m²","100,00 m²",,"R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),2 Vaga(s) de garagem,Cerca elétrica,Churrasqueira,Closet,Cozinha americana,Jardim",
Casa-Térrea,Campo Grande - MS,Monte Castelo,"R. Carlos Fortunato Paiva, 66","200,00 m²","99,64 m²",,"R$650.000,00","Aceita financiamento,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Cozinha americana,Jardim,Lavanderia,Pé direito duplo,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Monte Castelo,R. Zilca Pimentel Paiva,"200,00 m²","100,00 m²",,"R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de jantar,1 Suíte,2 Quarto(s),1 Wc social,2 Vaga(s) de garagem,Alarme,Área de serviço,Cerca elétrica,Churrasqueira,Closet,Cozinha,Jardim,Lavanderia,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Monte Castelo,"R. Zilca Pimentel Paiva, 148","200,00 m²","100,00 m²",,"R$650.000,00","Aceita financiamento,Asfalto,Calçada,Esgoto,Muro,Rede elétrica,Sala de estar,Sala de TV,1 Suíte com a/e,2 Quarto(s) com a/e,1 Varanda,1 Wc social,2 Vaga(s) de garagem,Área de serviço,Cerca elétrica,Churrasqueira,Cozinha,Cozinha americana,Lavanderia,Pé direito duplo,Portão elétrico",
Casa-Térrea,Campo Grande - MS,Monte Castelo,,"200,00 m²","100,00 m²",,"R$650.000,00","Aceita financiamento,Água,Asfalto,Calçada,Muro,Rede elétrica,Sala de jantar,Sala de TV,1 Suíte,2 Quarto(s),1 Varanda,1 Wc social,2 Vaga(s) de garagem,Churrasqueira,Cozinha,Jardim,Lavanderia",
